table: 24E10B40
	helicopter_snipers_drills | table: 53C62B20
				_values_extensions | table: 540C01E0 (empty)
				_editor_name | logic_link_008
				_element_group | MissionScriptElement
				_id | 100126
			100142 | table: 540C0C60
				__name | MissionScriptElement
				_values | table: 53B30D20
					enabled | true
					on_executed | table: 53B30D40
						1 | table: 53B30D60
							delay | 0
							id | 100162
						2 | table: 53B30D80
							delay | 26
							id | 100161
						3 | table: 53B30DA0
							delay | 14
							id | 100265
						4 | table: 53B30DE0
							delay | 40
							id | 100272
						5 | table: 53B30E00
							delay | 15
							id | 101977
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-775, -5200, 7850)
					execute_on_startup | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 540C0C80 (empty)
				_editor_name | logic_link_015
				_element_group | MissionScriptElement
				_id | 100142
			100158 | table: 540C1D60
				__name | ElementSpawnEnemyDummy
				_values | table: 53B318A0
					enabled | true
					force_pickup | none
					debug | false
					participate_to_group_ai | true
					trigger_times | 0
					position | Vector3(-1946.24, -7861.11, 5777.21)
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(45.0001, -0, -0)
					spawn_action | repel_vert
					on_executed | table: 53B318C0
						1 | table: 53B318E0
							delay | 0
							id | 100565
					amount | 0
					execute_on_startup | false
					accessibility | any
					interval | 5
					enemy | units/characters/enemies/swat/swat
				_enemy_name | Idstring(@ID6a1ac63b209e379a@) --units/characters/enemies/swat/swat
				_id | 100158
				_units | table: 540C1E00 (empty)
				_events | table: 540C1E20 (empty)
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 540C1D80 (empty)
				_editor_name | ai_spawn_enemy_031
				_element_group | ElementSpawnEnemyDummy
			100190 | table: 540C33A0
				__name | ElementSpecialObjective
				_values | table: 53B32940
					on_executed | table: 53B32960 (empty)
					path_style | coarse
					execute_on_restart | false
					use_instigator | false
					patrol_path | patrol_escort_3
					execute_on_startup | false
					pose | none
					repeatable | false
					enabled | true
					debug | false
					access_flag_version | 1
					follow_up_id | 101626
					path_haste | run
					rotation | Rotation(-90, 0, -0)
					base_chance | 1
					interrupt_on | none
					position | Vector3(-3075, -7975, 5775)
					chance_inc | 0
					SO_access | 262144
					so_action | AI_escort
					search_distance | 0
					trigger_times | 0
					trigger_on | none
					search_position | Vector3(-3075, -7975, 5775)
					base_delay | 0
					align_rotation | true
					align_position | true
					scan | true
					interval | -1
					path_stance | none
					is_navigation_link | false
					attitude | avoid
					ai_group | escort_guy_2
				_element_group | ElementSpecialObjective
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 540C33C0 (empty)
				_editor_name | point_special_objective_010
				_events | table: 540C3420 (empty)
				_id | 100190
			102253 | table: 542F38A0
				__name | MissionScriptElement
				_values | table: 53C60320
					enabled | true
					on_executed | table: 53C60340
						1 | table: 53C60360
							delay | 0.30000001192093
							id | 101909
						2 | table: 53C60380
							delay | 0
							id | 101731
						3 | table: 53C603A0
							delay | 0
							id | 101713
						4 | table: 53C603E0
							delay | 0
							id | 101788
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-788, -2807, 5700)
					execute_on_startup | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542F38C0 (empty)
				_editor_name | logic_link_105
				_element_group | MissionScriptElement
				_id | 102253
			100222 | table: 541621A0
				__name | ElementOperator
				_values | table: 53BB2700
					enabled | true
					on_executed | table: 53BB2740 (empty)
					elements | table: 53BB2720
						1 | 100221
					operation | add
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-1575, -4050, 5775)
					execute_on_startup | false
					trigger_times | 0
					debug | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 541621C0 (empty)
				_editor_name | logic_operator_011
				_element_group | ElementOperator
				_id | 100222
			100238 | table: 540C3BA0
				__name | ElementSpawnEnemyDummy
				_values | table: 53B32E80
					enabled | true
					force_pickup | none
					debug | false
					participate_to_group_ai | true
					trigger_times | 0
					position | Vector3(-2467, -11625, 5815.96)
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(-90, 0, -0)
					spawn_action | move_ladder_climbover_std
					on_executed | table: 53B32EA0 (empty)
					amount | 0
					execute_on_startup | false
					accessibility | acrobatic
					interval | 15
					enemy | units/characters/enemies/swat/swat
				_enemy_name | Idstring(@ID6a1ac63b209e379a@) --units/characters/enemies/swat/swat
				_id | 100238
				_units | table: 540C3C40 (empty)
				_events | table: 540C3C60 (empty)
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 540C3BC0 (empty)
				_editor_name | ai_spawn_enemy_051
				_element_group | ElementSpawnEnemyDummy
			100254 | table: 540F0720
				__name | ElementCounter
				_values | table: 53B33DC0
					enabled | true
					on_executed | table: 53B33DE0
						1 | table: 53B33E00
							delay | 0
							id | 101236
						2 | table: 53B33E20
							delay | 1
							id | 101532
						3 | table: 53B33E40
							delay | 0
							id | 101678
						4 | table: 53B33E80
							delay | 0
							id | 102071
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(90, -0, -0)
					position | Vector3(-4050, -8300, 5825)
					execute_on_startup | false
					counter_target | 4
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 540F0740 (empty)
				_editor_name | logic_counter_004
				_element_group | ElementCounter
				_id | 100254
			100270 | table: 540F1080
				__name | ElementStopEffect
				_values | table: 53B505C0
					enabled | true
					on_executed | table: 53B50600 (empty)
					elements | table: 53B505E0
						1 | 100267
					operation | fade_kill
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-25, -9500, 8050)
					execute_on_startup | false
					trigger_times | 0
					debug | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 540F10A0 (empty)
				_editor_name | env_effect_stop_002
				_element_group | ElementStopEffect
				_id | 100270
			102333 | table: 541D1960
				__name | ElementOperator
				_values | table: 53C61B20
					enabled | true
					on_executed | table: 53C61B60 (empty)
					elements | table: 53C61B40
						1 | 102321
						2 | 102320
						3 | 102322
						4 | 102323
						5 | 102325
						6 | 102324
					operation | remove
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-2150, -31125, 6291.18)
					execute_on_startup | false
					trigger_times | 0
					debug | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 541D1980 (empty)
				_editor_name | logic_operator_026
				_element_group | ElementOperator
				_id | 102333
			100334 | table: 540F1680
				__name | ElementEnemyDummyTrigger
				_values | table: 53B50D00
					enabled | true
					on_executed | table: 53B50D40
						1 | table: 53B50D60
							delay | 0
							id | 100333
					elements | table: 53B50D20
						1 | 100186
					trigger_times | 0
					event | anim_act_02
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-1025, -18550, 5950)
					execute_on_startup | false
					debug | false
					execute_on_restart | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 540F16A0 (empty)
				_editor_name | ai_enemy_trigger_005
				_element_group | ElementEnemyDummyTrigger
				_id | 100334
			100350 | table: 540F1D00
				__name | ElementSpawnEnemyDummy
				_values | table: 53B51260
					enabled | true
					force_pickup | none
					debug | false
					participate_to_group_ai | true
					trigger_times | 0
					position | Vector3(-350, -4250, 5763.92)
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(90, -0, -0)
					spawn_action | move_climbover_std
					on_executed | table: 53B51280
						1 | table: 53B512A0
							delay | 0
							id | 100220
						2 | table: 53B512C0
							delay | 0
							id | 101928
					amount | 0
					execute_on_startup | false
					accessibility | acrobatic
					interval | 5
					enemy | units/characters/enemies/spooc/spooc
				_enemy_name | Idstring(@ID1d8086e65dbae309@) --units/characters/enemies/spooc/spooc
				_id | 100350
				_units | table: 540F1DA0 (empty)
				_events | table: 540F1DC0 (empty)
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 540F1D20 (empty)
				_editor_name | ai_spawn_enemy_056
				_element_group | ElementSpawnEnemyDummy
			100366 | table: 542D0BA0
				__name | ElementSpecialObjective
				_values | table: 53CF3240
					so_action | AI_idle
					on_executed | table: 53CF3260 (empty)
					trigger_times | 0
					chance_inc | 0
					path_style | destination
					execute_on_restart | false
					use_instigator | true
					search_position | Vector3(-1050, -2175, 5569.04)
					search_distance | 0
					patrol_path | none
					scan | true
					SO_access | 1835011
					rotation | Rotation(0, 0, -0)
					pose | none
					repeatable | false
					enabled | true
					interval | -1
					debug | false
					access_flag_version | 1
					path_stance | none
					path_haste | none
					is_navigation_link | false
					base_delay | 0
					align_rotation | false
					align_position | false
					interrupt_on | none
					position | Vector3(-1050, -2175, 5569.04)
					base_chance | 1
					execute_on_startup | false
					attitude | avoid
					ai_group | civilians
				_element_group | ElementSpecialObjective
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542D0BC0 (empty)
				_editor_name | point_special_objective_007
				_events | table: 542D0C20 (empty)
				_id | 100366
			100382 | table: 540F2240
				__name | ElementObjective
				_values | table: 53B516A0
					enabled | true
					on_executed | table: 53B516C0
						1 | table: 53B516E0
							delay | 0
